岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
大数据分析师（实习生）,北京金照商贸有限公司,6千-8千,洛阳-洛龙,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
大数据开发工程师,北京天健源达科技股份有限公司,1.5万-2万,郑州-金水,5-10年,15000,2000,本科,外商独资 ,500-999人 ,10,河南,8500,500,5,2
大数据分析,北京顺意天达供应链管理有限公司,8千-1.2万,洛阳-西工,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据审计,天瑞集团股份有限公司,6千-1万,郑州-管城,3-5年,6000,1000,本科,上市公司 ,10000人以上 ,5,河南,3500,10000,3,1
大数据讲师,中科大数据研究院,9千-1.4万,郑州-金水,1-3年,9000,14000,学历不限,事业单位 ,100-299人 ,3,河南,11500,100,1,3
大数据讲师,河南鼎华信息科技有限公司,8千-1.5万,信阳-浉河区,3-5年,8000,15000,本科,民营 ,100-299人 ,5,河南,11500,100,3,3
大数据老师,河南拓晋教育咨询有限公司,4千-6千,新乡-红旗区,1-3年,4000,6000,本科,民营 ,20-99人 ,3,河南,5000,20,1,0
大数据教师,洛阳市科技中等专业学校,3千-5千,洛阳-洛龙,1-3年,3000,5000,本科,民营 ,100-299人 ,3,河南,4000,100,1,1
大数据讲师,中国高科集团,1万-1.5万,焦作-山阳区,3-5年,1000,15000,本科,上市公司 ,500-999人 ,5,河南,8000,500,3,1
大数据开发工程师初级/实习,东方中绿农业开发有限公司,6千-1.2万,郑州-管城,1年以下,6000,12000,学历不限,民营 ,20-99人 ,1,河南,9000,20,1,3
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师助理,北京顺意天达供应链管理有限公司,8千-1.1万,洛阳-洛龙,不限,8000,11000,大专,民营 ,20-99人 ,20,河南,9500,20,20,5
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,濮阳-华龙区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据ETL工程师,河南云数大数据科技有限公司,6千-1.2万,郑州-中原,不限,6000,12000,大专,民营 ,20-99人 ,20,河南,9000,20,20,3
大数据开发 初级/实习z02,东方中绿农业开发有限公司,6千-1.2万,郑州-管城,1年以下,6000,12000,学历不限,民营 ,20-99人 ,1,河南,9000,20,1,3
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,鹤壁-淇滨区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发零基础实习生专业不限,郑州朋采信息科技有限公司,8千-1.4万,郑州-中原,无经验,8000,14000,学历不限,股份制企业 ,100-299人 ,0,河南,11000,100,0,0
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,平顶山-新华区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
高级大数据开发工程师,北京云图智联科技集团有限公司,8千-9千,洛阳-涧西,5-10年,8000,9000,本科,股份制企业 ,100-299人 ,10,河南,8500,100,5,1
大数据分析师（无经验）,北京金照商贸有限公司,8千-1.2万,焦作-山阳区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据解决方案工程师（金水区-双休六险一金）,武汉佰钧成技术有限责任公司,5千-8千,郑州-金水,1-3年,5000,8000,大专,民营 ,1000-9999人 ,3,河南,6500,1000,1,1
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据平台解决方案,杭州东方通信软件技术有限公司,6千-1.2万,郑州-管城,1-3年,6000,12000,大专,国企 ,500-999人 ,3,河南,9000,500,1,1
大数据分析师,北京金照商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
大数据分析岗,北京顺意天达供应链管理有限公司,8千-1.2万,平顶山-新华区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据开发工程师助理,郑州朋采信息科技有限公司,6千-1.2万,郑州-中原,无经验,6000,12000,大专,股份制企业 ,100-299人 ,0,河南,9000,100,0,0
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,开封-龙亭区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
数据统计分析,北京富辉旺商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发助理,郑州百尚网络科技有限公司,4千-6千,郑州,无经验,4000,6000,大专,民营 ,20-99人 ,0,河南,5000,20,0,4
大数据开发工程师,八六三软件,8千-1.2万,郑州-中原,1-3年,8000,12000,本科,国企 ,500-999人 ,3,河南,10000,500,1,1
大数据分析师,河南公路项目管理有限责任公司,6千-8千,郑州-惠济,不限,6000,8000,硕士,国企 ,500-999人 ,20,河南,7000,500,20,1
大数据分析师（可培养）,北京佳德好商贸有限公司,8千-1.2万,安阳-文峰区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,3
大数据分析师,北京富辉旺商贸有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据分析师,北京中京翼科技有限公司,8千-1.2万,新乡-红旗区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
大数据分析师管培生,北京杉汇商贸有限公司,9千-1.5万,郑州-二七区,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,4
大数据分析师（实习生）,北京顺意天达供应链管理有限公司,6千-8千,鹤壁-淇滨区,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
大数据分析师,北京金照商贸有限公司,8千-1.2万,郑州-二七区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
大数据开发实习生,郑州朋采信息科技有限公司,6千-1.2万,郑州-中原,不限,6000,12000,大专,股份制企业 ,100-299人 ,20,河南,9000,100,20,0
大数据分析师,北京暖杏科技有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发工程师,河南亚菲品牌策划有限公司,5千-8千,郑州-金水,不限,5000,8000,大专,民营 ,500-999人 ,20,河南,6500,500,20,19
大数据分析师（实习生）,北京顺意天达供应链管理有限公司,6千-8千,开封-龙亭区,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
大数据分析师管培生,北京杉汇商贸有限公司,9千-1.5万,焦作-解放区,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,4
大数据开发实习,郑州百衔网络科技有限公司,5千-8千,郑州-中原,无经验,5000,8000,大专,民营 ,100-299人 ,0,河南,6500,100,0,3
大专大数据与会计专业课老师,河南津开教育信息咨询有限公司,6千-1万,郑州-中牟,不限,6000,1000,硕士,民营 ,100-299人 ,20,河南,3500,100,20,1
电商数据专员+不加班+社保+高薪,连云港道斯夫汽车配件有限公司,3千-5千,郑州-金水,不限,3000,5000,大专,外商独资 ,20-99人 ,20,河南,4000,20,20,10
大数据应用及分析项目负责人,河南公路项目管理有限责任公司,8千-1.2万,郑州-惠济,3-5年,8000,12000,硕士,国企 ,500-999人 ,5,河南,10000,500,3,1
数据统计分析,北京杉汇商贸有限公司,8千-1.2万,新乡-红旗区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据工程师,辉煌科技,8千-1.2万,郑州-中原,1-3年,8000,12000,本科,上市公司 ,500-999人 ,3,河南,10000,500,1,1
大数据分析师,北京多耀商贸有限公司,6千-8千,郑州-中原,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,6
爬虫工程师,郑州图缘网络科技有限公司,5千-9千,郑州,1-3年,5000,9000,大专,民营 ,20-99人 ,3,河南,7000,20,1,5
数据分析师,河北宙清环保科技有限公司,3千-5千,安阳-文峰区,1年以下,3000,5000,本科,民营 ,20-99人 ,1,河南,4000,20,1,2
数据统计分析,北京杉汇商贸有限公司,8千-1.2万,安阳-文峰区,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据研发工程师+五险一金,北京环球优路教育科技股份有限公司,1万-1.5万,郑州-中原,3-5年,1000,15000,大专,股份制企业 ,1000-9999人 ,5,河南,8000,1000,3,1
数据开发工程师,上海柯林布瑞信息技术有限公司,8千-1.5万,南阳-卧龙区,1-3年,8000,15000,大专,民营 ,100-299人 ,3,河南,11500,100,1,2
大数据零基础实习生专业不限,郑州朋采信息科技有限公司,8千-1.4万,郑州-中原,无经验,8000,14000,学历不限,股份制企业 ,100-299人 ,0,河南,11000,100,0,0
大数据开发工程师,郑州迪维勒普科技有限公司,1万-2万,郑州-中原,5-10年,1000,2000,本科,股份制企业 ,100-299人 ,10,河南,1500,100,5,2
IT云计算/大数据开发,郑州煦秋信息科技有限公司,6千-8千,郑州-金水,不限,6000,8000,大专,民营 ,100-299人 ,20,河南,7000,100,20,19
云计算/大数据/存储讲师【长期急聘】,河南合众信泰科技有限公司,8千-1.5万,郑州-金水,3-5年,8000,15000,本科,民营 ,20-99人 ,5,河南,11500,20,3,5
数据分析师,河南海聚软件智能科技有限公司,3千-4千,安阳-文峰区,无经验,3000,4000,大专,民营 ,20人以下 ,0,河南,3500,20,0,1
销售/互联网/大数据技术/港区,郑州市广为房地产顾问有限公司,8千-1.2万,郑州-新郑,不限,8000,12000,大专,其它 ,100-299人 ,20,河南,10000,100,20,15
大数据分析师,郑州走南闯北物流有限公司,6千-8千,郑州-管城,不限,6000,8000,大专,股份制企业 ,500-999人 ,20,河南,7000,500,20,3
大数据行业产品经理,智联猎头,1.2万-2.3万,郑州-中原,3-5年,12000,23000,本科,上市公司 ,1000-9999人 ,5,河南,17500,1000,3,3
大数据专业讲师,河南鼎华信息科技有限公司,1.2万-1.5万,郑州-金水,3-5年,12000,15000,本科,民营 ,100-299人 ,5,河南,13500,100,3,2
大数据开发助理（五险一金+双休）,郑州土工干信息科技有限公司,6千-9千,郑州,无经验,6000,9000,大专,民营 ,20-99人 ,0,河南,7500,20,0,4
售前支持工程师（大数据方向）,八六三软件,1.4万-1.8万,郑州-中原,3-5年,14000,18000,大专,国企 ,500-999人 ,5,河南,16000,500,3,2
大数据工程师,超级智慧家(上海)物联网科技有限公司,1万-1.6万,郑州-中原,1-3年,1000,16000,本科,民营 ,500-999人 ,3,河南,8500,500,1,1
数据分析工程师,河南米多奇食品有限公司,6千-8千,新乡,3-5年,6000,8000,本科,民营 ,1000-9999人 ,5,河南,7000,1000,3,1
数据挖掘工程师,南京迈特望,8千-1.2万,郑州-中原,1-3年,8000,12000,本科,股份制企业 ,10000人以上 ,3,河南,10000,10000,1,1
大数据开发工程师,亚信万联科技(南京)有限公司,7千-1.4万,郑州-高新区,1-3年,7000,14000,本科,民营 ,100-299人 ,3,河南,10500,100,1,1
亚马逊产品开发（数据分析）,河南准学教育咨询有限公司,8千-1.6万,郑州-管城,1-3年,8000,16000,大专,民营 ,20-99人 ,3,河南,12000,20,1,5
ETL数据开发工程师（I9）,河南云语信息技术有限公司,9千-1.5万,郑州-金水,5-10年,9000,15000,本科,民营 ,100-299人 ,10,河南,12000,100,5,2
数据运营助理,连云港道斯夫汽车配件有限公司,3千-6千,郑州,不限,3000,6000,学历不限,外商独资 ,20-99人 ,20,河南,4500,20,20,1
数据开发主管,河南聚溪樾商贸有限公司,7千-9千,郑州-金水,3-5年,7000,9000,大专,民营 ,500-999人 ,5,河南,8000,500,3,0
客户经理（大数据）,八六三软件,1万-1.8万,郑州,1-3年,1000,18000,大专,国企 ,500-999人 ,3,河南,9500,500,1,1
数据运营,郑州樱桃服饰有限公司,7千-1万,郑州-金水,1-3年,7000,1000,本科,民营 ,100-299人 ,3,河南,4000,100,1,1
大数据分析工程师,河南兵峰电子科技有限公司,7千-1.4万,郑州-金水,3-5年,7000,14000,本科,民营 ,20-99人 ,5,河南,10500,20,3,2
大数据开发工程师,中科大数据研究院,9千-1.5万,郑州-金水,3-5年,9000,15000,本科,事业单位 ,100-299人 ,5,河南,12000,100,3,1
大数据培训讲师,河南泥巴众创科技有限公司,1.1万-2万,郑州-管城,1-3年,11000,2000,本科,民营 ,100-299人 ,3,河南,6500,100,1,1
大数据开发工程师 (MJ012416),牧原股份,1万-2万,郑州-金水,不限,1000,2000,本科,上市公司 ,10000人以上 ,20,河南,1500,10000,20,20
大数据分析师,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,1-3年,1000,2000,本科,国企 ,10000人以上 ,3,河南,1500,10000,1,1
数据分析师,洛阳威尔若普检测技术有限公司,6千-9千,洛阳-涧西,1-3年,6000,9000,大专,民营 ,100-299人 ,3,河南,7500,100,1,1
Java大数据讲师,河南鼎华信息科技有限公司,1.2万-1.5万,郑州-中原,5-10年,12000,15000,本科,民营 ,100-299人 ,10,河南,13500,100,5,2
数据统计分析,北京杉汇商贸有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,6
大数据开发工程师 (MJ014993),牧原股份,8千-1.6万,南阳-卧龙区,1-3年,8000,16000,本科,上市公司 ,10000人以上 ,3,河南,12000,10000,1,10
开发工程师（大数据/智能化训练）,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,3-5年,1000,2000,本科,国企 ,10000人以上 ,5,河南,1500,10000,3,2
数据开发,河南驰鹏科技有限公司,1.5万-2.5万,许昌-魏都区,3-5年,15000,25000,本科,其它 ,20-99人 ,5,河南,20000,20,3,1
大数据专业讲师,河南鼎华信息科技有限公司,1.2万-1.5万,郑州-中原,3-5年,12000,15000,本科,民营 ,100-299人 ,5,河南,13500,100,3,2
亚马逊产品开发（数据分析）,河南准学教育咨询有限公司,7千-1.4万,郑州-管城,1-3年,7000,14000,大专,民营 ,20-99人 ,3,河南,10500,20,1,1
大数据开发工程师【河南电信】,北京资采信息技术有限公司,8千-1万,郑州-金水,3-5年,8000,1000,本科,上市公司 ,100-299人 ,5,河南,4500,100,3,1
ETL工程师,北京拓普丰联信息科技股份有限公司,5千-7千,郑州-金水,1-3年,5000,7000,本科,股份制企业 ,500-999人 ,3,河南,6000,500,1,1
产品经理（现代教育技术或教育大数据专业）,精华教育科技股份有限公司,1.5万-2.5万,郑州-中原,5-10年,15000,25000,硕士,上市公司 ,100-299人 ,10,河南,20000,100,5,1
大数据开发工程师,云歌信息技术(江苏)有限公司,1.2万-1.4万,郑州-金水,3-5年,12000,14000,本科,民营 ,20人以下 ,5,河南,13000,20,3,2
大数据销售经理,八六三软件,1.5万-2万,郑州-高新区,3-5年,15000,2000,大专,国企 ,500-999人 ,5,河南,8500,500,3,1
数据开发专员,河南聚溪樾商贸有限公司,6千-7千,郑州-金水,1-3年,6000,7000,大专,民营 ,500-999人 ,3,河南,6500,500,1,1
大数据测试工程师,郑州思博科信息技术有限公司,1万-1.5万,郑州-管城,3-5年,1000,15000,大专,民营 ,20-99人 ,5,河南,8000,20,3,1
中级大数据开发工程师（中原消费金融）,北京小马人科技有限公司,1.5万-1.8万,郑州-管城,3-5年,15000,18000,大专,民营 ,300-499人 ,5,河南,16500,300,3,5
大数据架构师,河南蓝信科技有限责任公司,1.4万-2万,郑州-中原,5-10年,14000,2000,本科,股份制企业 ,300-499人 ,10,河南,8000,300,5,3
大数据解决方案工程师,郑州建鲤信息技术有限公司,1.2万-1.8万,郑州-中原,5-10年,12000,18000,本科,民营 ,20-99人 ,10,河南,15000,20,5,6
大数据开发工程师,汉威科技集团股份有限公司,1万-1.5万,郑州,3-5年,1000,15000,本科,上市公司 ,1000-9999人 ,5,河南,8000,1000,3,1
java大数据开发工程师,埃文科技,1万-1.4万,郑州-管城,3-5年,1000,14000,本科,民营 ,100-299人 ,5,河南,7500,100,3,1
大数据开发工程师(J11185),漯河市卫龙商贸有限公司,1.5万-2.5万,漯河-召陵区,3-5年,15000,25000,本科,民营 ,1000-9999人 ,5,河南,20000,1000,3,1
数据开发,江西磊沃信息技术有限公司,9千-1.5万,郑州-管城,1-3年,9000,15000,大专,民营 ,20-99人 ,3,河南,12000,20,1,2
Python大数据分析特训营课程/培训招生(郑州）,51Testing,6千-8千,郑州-金水,不限,6000,8000,大专,民营 ,100-299人 ,20,河南,7000,100,20,3
高级大数据开发工程师,北京天健源达科技股份有限公司,1.5万-2万,郑州-金水,5-10年,15000,2000,本科,外商独资 ,500-999人 ,10,河南,8500,500,5,2
JAVA、大数据讲师,上饶市数通教育科技有限公司,8千-1.6万,郑州-新郑,3-5年,8000,16000,本科,其它 ,20-99人 ,5,河南,12000,20,3,2
数据挖掘工程师,河南云劭博教育科技有限公司,1.5万-2万,郑州-高新区,3-5年,15000,2000,本科,民营 ,100-299人 ,5,河南,8500,100,3,1
大数据专业教师,新乡医学院三全学院,5千-8千,新乡,不限,5000,8000,硕士,学校/下级学院 ,500-999人 ,20,河南,6500,500,20,5
Java开发/数据处理（双休、五险一金）,北京嘉博环球教育科技有限公司,7千-1.2万,郑州-金水,1-3年,7000,12000,本科,民营 ,20人以下 ,3,河南,9500,20,1,3
高薪急聘爬虫工程师！！,平顶山市听海文化传播有限公司郑州分公司,1万-1.5万,郑州,1-3年,1000,15000,大专,民营 ,100-299人 ,3,河南,8000,100,1,2
数仓工程师(J11062),蜜雪冰城股份有限公司,1万-1.5万,郑州,3-5年,1000,15000,本科,股份制企业 ,1000-9999人 ,5,河南,8000,1000,3,1
大数据开发工程师,许昌龙祁电子商务有限公司郑州分公司,1万-2万,郑州,3-5年,1000,2000,本科,民营 ,100-299人 ,5,河南,1500,100,3,2
高级大数据开发工程师,河南省晨罡实业有限公司,1万-1.5万,郑州-中原,3-5年,1000,15000,本科,民营 ,100-299人 ,5,河南,8000,100,3,1
数据挖掘工程师（郑州）,亚信万联科技(南京)有限公司,8千-1.2万,郑州-中原,1-3年,8000,12000,本科,民营 ,100-299人 ,3,河南,10000,100,1,1
大数据开发工程师,郑州匠云网络科技有限公司,4千-8千,郑州-中原,1-3年,4000,8000,本科,民营 ,100-299人 ,3,河南,6000,100,1,1
数据工程师,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,3-5年,1000,2000,本科,国企 ,10000人以上 ,5,河南,1500,10000,3,1
数据治理,河南汇融科技服务有限公司,1.5万-2.5万,郑州-金水,3-5年,15000,25000,本科,国企 ,100-299人 ,5,河南,20000,100,3,1
数据开发（双休+五险一金）,晟盾科技股份有限公司,9千-1.5万,郑州-中原,1-3年,9000,15000,本科,民营 ,100-299人 ,3,河南,12000,100,1,3
大数据开发工程师,河南恩久信息科技有限公司,1万-2万,郑州,3-5年,1000,2000,本科,民营 ,20-99人 ,5,河南,1500,20,3,2
大数据架构师,辉煌科技,9千-1.7万,郑州-中原,3-5年,9000,17000,本科,上市公司 ,500-999人 ,5,河南,13000,500,3,1
数据分析,中国移动通信有限公司在线营销服务中心,6千-1.2万,郑州-中原,1-3年,6000,12000,本科,国企 ,10000人以上 ,3,河南,9000,10000,1,1
高级政务业务架构师,河南三景企业服务有限公司,1.5万-2.5万,郑州-管城,5-10年,15000,25000,本科,社会团体 ,20-99人 ,10,河南,20000,20,5,2
高等数学教师,河南省城投科技发展有限公司,7千-9千,郑州-新郑,不限,7000,9000,硕士,民营 ,100-299人 ,20,河南,8000,100,20,5
数据分析师（总商运营方向）,河南辰博盛速物流有限公司,1万-1.5万,郑州-二七区,3-5年,1000,15000,大专,其它 ,1000-9999人 ,5,河南,8000,1000,3,1
IoT大数据技术负责人,东莞精锐人力资源有限公司,2万-4万,郑州-中牟,5-10年,2000,4000,本科,其它 ,20人以下 ,10,河南,3000,20,5,2
数据开发工程师,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,3-5年,1000,2000,本科,国企 ,10000人以上 ,5,河南,1500,10000,3,1
高级大数据开发工程师,北京康联时代医学研究院有限公司,1.5万-1.6万,郑州-管城,3-5年,15000,16000,大专,民营 ,20-99人 ,5,河南,15500,20,3,1
Hadoop大数据工程师,悦岚(上海)数据服务有限公司,1.5万-3万,郑州-中原,3-5年,15000,3000,大专,民营 ,20-99人 ,5,河南,9000,20,3,1
数据开发工程师,河南嘉晨企业管理咨询有限公司,2万-3万,郑州-金水,3-5年,2000,3000,本科,民营 ,100-299人 ,5,河南,2500,100,3,2
大数据业务经理,河南安宏控股有限公司,1万-1.5万,郑州-管城,1-3年,1000,15000,大专,民营 ,100-299人 ,3,河南,8000,100,1,2
高级数据开发工程师,河南邦成资产,1.2万-2万,郑州,5-10年,12000,2000,本科,民营 ,500-999人 ,10,河南,7000,500,5,1
数据治理工程师-平顶山 (MJ001114),广电运通,6千-1.2万,平顶山-新华区,1-3年,6000,12000,本科,上市公司 ,10000人以上 ,3,河南,9000,10000,1,4
软件开发工程师,河南诚康医药有限公司,6千-9千,郑州-管城,3-5年,6000,9000,大专,民营 ,300-499人 ,5,河南,7500,300,3,1
数据开发工程师,深圳市讯方技术股份有限公司,6千-8千,郑州-金水,1-3年,6000,8000,大专,股份制企业 ,1000-9999人 ,3,河南,7000,1000,1,1
项目经理（数据治理）(J10036),多氟多新材料股份有限公司,7千-1万,焦作-中站区,5-10年,7000,1000,本科,股份制企业 ,1000-9999人 ,10,河南,4000,1000,5,1
数据挖掘工程师 (MJ012423),牧原股份,1万-2万,郑州-金水,不限,1000,2000,本科,上市公司 ,10000人以上 ,20,河南,1500,10000,20,20
技术经理（大数据）,郑州中凯智能科技有限公司,1万-2万,郑州,5-10年,1000,2000,本科,民营 ,20-99人 ,10,河南,1500,20,5,1
数据工程师（郑州）,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,3-5年,1000,2000,本科,国企 ,10000人以上 ,5,河南,1500,10000,3,2
数据开发专员,河南弘梓晟商贸股份有限公司,6千-7千,郑州-金水,3-5年,6000,7000,大专,民营 ,300-499人 ,5,河南,6500,300,3,0
数据挖掘算法工程师,牧原股份,1万-2万,南阳-卧龙区,3-5年,1000,2000,本科,上市公司 ,10000人以上 ,5,河南,1500,10000,3,1
数据分析师,迈锐德实业,6千-1万,郑州,1-3年,6000,1000,本科,民营 ,10000人以上 ,3,河南,3500,10000,1,3
数据分析师（智能营销）,中国移动通信有限公司在线营销服务中心,1万-2万,郑州-中原,3-5年,1000,2000,硕士,国企 ,100-299人 ,5,河南,1500,100,3,1
ETL开发工程师,北京知锐企服科技有限公司,6千-1.1万,郑州-中原,1-3年,6000,11000,本科,民营 ,100-299人 ,3,河南,8500,100,1,1
数据分析工程师,山东亚微软件股份有限公司,1.5万-2.2万,郑州-中原,3-5年,15000,22000,硕士,民营 ,20-99人 ,5,河南,18500,20,3,1
ETL工程师,郑州思博科信息技术有限公司,1.1万-1.4万,郑州-管城,5-10年,11000,14000,本科,民营 ,500-999人 ,10,河南,12500,500,5,2
董事长助理（大数据分析及投资-新能源、医养）,河南梅隆建设发展有限公司,2.5万-3万,郑州,3-5年,25000,3000,本科,民营 ,100-299人 ,5,河南,14000,100,3,1
数据治理高级工程师,珠海世博信息科技有限公司,1.1万-1.7万,郑州-中原,5-10年,11000,17000,本科,民营 ,10000人以上 ,10,河南,14000,10000,5,1
数据专员,河南宾儒商贸有限公司,4千-8千,许昌-魏都区,1-3年,4000,8000,大专,民营 ,20-99人 ,3,河南,6000,20,1,1
销售数据分析,郑州市二七区万泽锦农产品商行,6千-1.2万,郑州-二七区,1-3年,6000,12000,大专,民营 ,20-99人 ,3,河南,9000,20,1,5
数据库工程师,福建学太郎信息科技有限公司,1.2万-1.6万,郑州-中原,1-3年,12000,16000,大专,民营 ,20人以下 ,3,河南,14000,20,1,3
数据分析师,河南鑫瀚农产品有限公司,5千-8千,郑州-金水,1年以下,5000,8000,学历不限,民营 ,20-99人 ,1,河南,6500,20,1,1
数据分析师,河南云数大数据科技有限公司,6千-1.2万,郑州-中原,不限,6000,12000,大专,民营 ,20-99人 ,20,河南,9000,20,20,3
数据专员（双休包住宿）,郑州缇米网络科技有限公司,6千-8千,郑州-中原,不限,6000,8000,大专,民营 ,20-99人 ,20,河南,7000,20,20,4
经济数据分析,北京佳德好商贸有限公司,8千-1.2万,漯河-源汇区,不限,8000,12000,本科,民营 ,500-999人 ,20,河南,10000,500,20,4
数据分析师,河南奥昆食品有限公司,5千-7千,新乡-卫辉市,1-3年,5000,7000,大专,上市公司 ,20-99人 ,3,河南,6000,20,1,1
软件数据分析师,北京金照商贸有限公司,9千-1.5万,洛阳-洛龙,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,6
资料分析员,北京富辉旺商贸有限公司,9千-1.3万,开封-龙亭区,不限,9000,13000,大专,民营 ,100-299人 ,20,河南,11000,100,20,1
商业数据分析,北京金照商贸有限公司,9千-1.5万,郑州-中原,不限,9000,15000,大专,民营 ,1000-9999人 ,20,河南,12000,1000,20,5
数据分析,河南鲜风商业连锁有限公司,6千-8千,开封-龙亭区,1-3年,6000,8000,本科,民营 ,20-99人 ,3,河南,7000,20,1,2
商业数据分析,北京金照商贸有限公司,9千-1.5万,开封-龙亭区,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,5
数据分析,河南鲜风商业连锁有限公司,5千-8千,开封-龙亭区,1-3年,5000,8000,本科,民营 ,1000-9999人 ,3,河南,6500,1000,1,5
经济数据分析,北京佳德好商贸有限公司,8千-1.2万,焦作-山阳区,不限,8000,12000,本科,民营 ,20-99人 ,20,河南,10000,20,20,4
财务数据分析师,北京顺意天达供应链管理有限公司,8千-1.1万,开封-龙亭区,不限,8000,11000,大专,民营 ,20-99人 ,20,河南,9500,20,20,5
数据分析师,牧原股份,8千-1.5万,南阳-内乡县,不限,8000,15000,本科,上市公司 ,10000人以上 ,20,河南,11500,10000,20,2
商业数据分析,北京杉汇商贸有限公司,9千-1.5万,新乡-红旗区,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,6
软件数据分析师,北京暖杏科技有限公司,8千-1.2万,洛阳-洛龙,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
经济数据分析,北京佳德好商贸有限公司,8千-1.2万,新乡-红旗区,不限,8000,12000,本科,民营 ,20-99人 ,20,河南,10000,20,20,4
数据处理工程师,河南云数大数据科技有限公司,8千-1.2万,郑州-中原,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,10
信息审核员,洛阳圣宝网络科技有限公司,2千-4千,洛阳-西工,不限,2000,4000,中专/中技,民营 ,100-299人 ,20,河南,3000,100,20,20
商业数据分析,北京金照商贸有限公司,9千-1.5万,洛阳-洛龙,不限,9000,15000,大专,民营 ,20-99人 ,20,河南,12000,20,20,5
经济数据分析,北京佳德好商贸有限公司,8千-1.2万,濮阳-华龙区,不限,8000,12000,本科,民营 ,20-99人 ,20,河南,10000,20,20,4
软件数据分析师,北京中京翼科技有限公司,8千-1.2万,鹤壁-淇县,不限,8000,12000,大专,民营 ,20-99人 ,20,河南,10000,20,20,5
数据分析师,洛阳群客电子商务有限公司,6千-8千,洛阳-洛龙,1-3年,6000,8000,大专,其它 ,1000-9999人 ,3,河南,7000,1000,1,1
技术分析师,河南宾儒商贸有限公司,4千-8千,许昌-魏都区,1-3年,4000,8000,大专,民营 ,20-99人 ,3,河南,6000,20,1,1
项目专员,河南北之栎商贸有限公司,7千-1.1万,郑州-金水,不限,7000,11000,大专,民营 ,20-99人 ,20,河南,9000,20,20,10
